theme_name,year,boot_mean,low_ci,high_ci,n_sets
City,2005,6.623145833333333,5.708333333333333,7.75,24
City,2006,7.7530625,6.625,9.125,24
City,2007,6.324770833333333,5.583333333333333,7.083333333333333,24
City,2008,5.9078125,4.833333333333333,7.125,24
City,2009,7.021916666666667,6.125,8.208333333333334,24
City,2010,7.7160416666666665,6.75,8.916666666666666,24
City,2011,6.504458333333334,5.708333333333333,7.416666666666667,24
City,2013,6.539625,5.75,7.375,24
City,2014,6.2391875,5.458333333333333,7.084374999999994,24
Duplo,1977,13.0,13.0,13.0,1
Duplo,1984,10.096,2.0,18.0,2
Duplo,1987,3.0,3.0,3.0,1
Duplo,1989,4.0,4.0,4.0,1
Duplo,1990,1.0,1.0,1.0,1
Duplo,1991,7.0,7.0,7.0,1
Duplo,1992,1.0,1.0,1.0,1
Duplo,1993,1.0,1.0,1.0,2
Duplo,1997,11.0,11.0,11.0,1
Duplo,1998,12.0,12.0,12.0,1
Duplo,1999,9.0,9.0,9.0,1
Duplo,2000,23.61475,10.0,37.0,2
Duplo,2001,21.008,17.0,25.0,2
Duplo,2002,26.0,26.0,26.0,1
Duplo,2004,21.0,21.0,21.0,1
Duplo,2005,17.9402,7.390000000000001,29.6,5
Duplo,2006,15.704277777777778,8.88888888888889,24.11111111111111,9
Duplo,2007,19.830555555555556,13.555555555555555,27.88888888888889,9
Duplo,2008,28.1485,10.0,48.0,3
Duplo,2009,24.91975,9.5,39.5,4
Duplo,2010,19.26516666666667,10.914583333333333,29.50208333333332,12
Duplo,2011,18.065933333333334,11.533333333333333,25.13499999999999,15
Duplo,2012,19.993722222222218,15.555555555555555,25.26018518518518,27
Duplo,2013,19.561519230769232,14.384615384615385,24.846153846153847,26
Duplo,2014,19.06244285714286,15.142142857142856,23.42999999999999,35
Duplo,2015,19.840796875,16.8125,22.9375,32
Duplo,2016,20.36822222222222,14.88888888888889,26.38888888888889,18
Duplo,2017,10.667125,6.5,15.0,4
Friends,2012,55.70037096774193,40.70645161290323,72.12903225806451,31
Friends,2013,57.703105263157894,39.26315789473684,77.63684210526313,19
Friends,2014,55.96148214285714,38.356249999999996,77.2517857142857,28
Friends,2015,53.16325,38.979,69.26299999999999,50
Friends,2016,63.938840909090914,49.52215909090909,78.88863636363635,44
Friends,2017,65.21936111111111,44.72222222222222,86.44722222222221,18
Ninjago,2011,53.0812875,38.39875,69.30187499999998,40
Ninjago,2012,55.994711111111116,40.22,73.11444444444443,45
Ninjago,2013,92.1218125,66.375,118.38124999999997,8
Ninjago,2014,143.73825,100.99375,193.00312499999998,8
Ninjago,2015,77.30584782608695,52.36141304347826,104.39293478260869,46
Ninjago,2016,81.847875,52.43671875,110.93984375,32
Ninjago,2017,124.65575,74.21875,180.25,8
Technic,1982,2.0,2.0,2.0,1
Technic,1985,22.833666666666666,8.333333333333334,37.666666666666664,6
Technic,1986,30.3968,5.4,58.0,5
Technic,1987,2.001714285714286,1.6428571428571428,2.4285714285714284,14
Technic,1989,4.0,4.0,4.0,1
Technic,1992,6.039108695652174,3.4347826086956523,9.565217391304348,23
Technic,1993,34.6555,12.0,63.0,4
Technic,1994,5.797588235294117,3.8823529411764706,8.001470588235286,17
Technic,1995,23.096454545454545,2.090909090909091,48.54545454545455,11
Technic,1996,33.941375,1.0,68.0,4
Technic,1997,25.88075,3.0,49.0,4
Technic,1998,5.133333333333333,2.3333333333333335,7.670833333333311,6
Technic,1999,13.550785714285714,4.428571428571429,24.007142857142817,14
Technic,2000,37.14,2.0,107.0,3
Technic,2001,64.013,51.0,77.0,2
Technic,2002,1.0,1.0,1.0,1
Technic,2003,84.65316666666666,53.0,116.02083333333321,6
Technic,2006,117.0,117.0,117.0,1
Technic,2011,130.0,130.0,130.0,1
Technic,2012,81.94375,43.0,118.0,2
Technic,2013,72.42133333333334,52.44444444444444,93.77777777777777,9
Technic,2014,68.96694444444444,48.99722222222222,90.22222222222223,9
Technic,2015,150.326,120.0,179.0,2
Technic,2016,94.32509090909092,68.36136363636363,120.91590909090905,11
Technic,2017,81.86377272727273,66.99772727272727,98.1840909090909,11
